feature,block,window,source_events,definition,leakage_risk_assessed,model_eligible,dtype,n_unique,missing_pct_all_purchasers,missing_pct_D30_eligible
pre_p_carted,M3 pre-t0 browsing,< t0,all types,distinct products carted before t0,none,True,float64,295,0.55,0.57
pre_n_categories,M3 pre-t0 browsing,< t0,all types,distinct categories before t0,none,True,float64,105,0.55,0.57
pre_n_brands,M3 pre-t0 browsing,< t0,all types,distinct non-null brands before t0,none,True,float64,58,0.55,0.57
pre_n_active_days,M3 pre-t0 browsing,< t0,all types,distinct active days before t0,none,True,float64,55,0.55,0.57
pre_n_sessions,M3 pre-t0 browsing,< t0,all types,distinct sessions with an event before t0,none,True,float64,233,0.55,0.57
pre_n_prior_sessions,M3 pre-t0 browsing,< t0,all types,"as above, excluding the first-order session",lets 06 build a disjoint M2/M3 nesting if it prefers,True,float64,234,0.55,0.57
has_prior_sessions,M3 pre-t0 browsing,< t0,all types,pre_n_prior_sessions > 0,the non-degenerate form of 'converted in the first session',True,int64,2,0.0,0.0
pre_mean_session_depth,M3 pre-t0 browsing,< t0,all types,mean events per pre-t0 session,none,True,float64,6054,0.55,0.57
pre_view_to_cart,M3 pre-t0 browsing,< t0,all types,"distinct carted / distinct viewed, before t0",NULL where no view,True,float64,4925,7.55,7.7
pre_removal_per_cart,M3 pre-t0 browsing,< t0,all types,"removal events / cart events, before t0",abandonment VOLUME ratio; NULL where no cart,True,float64,5070,1.26,1.29
pre_cart_not_in_first_order_rate,M3 pre-t0 browsing,< t0,all types,share of pre-t0 carted products NOT in the first order,"REPLACES 04's cart_abandonment_rate, which is a constant 1.0 in this window (Section 6A)",True,float64,2317,1.26,1.29
pre_brand_entropy,M3 pre-t0 browsing,< t0,all types,"Shannon entropy of viewed brands, NULL kept as its own level",none,True,float64,22341,7.55,7.7
pre_brand_coverage,M3 pre-t0 browsing,< t0,all types,share of pre-t0 views carrying a non-null brand,diagnostic for pre_brand_entropy,True,float64,4038,7.55,7.7
pre_category_entropy,M3 pre-t0 browsing,< t0,all types,Shannon entropy of viewed category_id,none,True,float64,23604,7.55,7.7
pre_mean_price_pct_viewed,M3 pre-t0 browsing,< t0,all types,mean prior-day price percentile of products viewed before t0,F3-safe; NOT the same variable 04 fitted on (it used a full-dataset percentile),True,float64,93889,8.45,8.78
pre_price_range_viewed,M3 pre-t0 browsing,< t0,all types,P90-P10 of those percentiles,"F3-safe, same caveat",True,float64,84242,8.45,8.78
tenure_d,M3 pre-t0 browsing,< t0,all types,days from the user's FIRST EVENT to t0,"measured to t0, NOT to DATA_END -- the DATA_END version is F2",True,float64,64247,0.55,0.57
pre_days_since_last_event,M3 pre-t0 browsing,< t0,all types,days from the last pre-t0 event to t0,"NEAR-DEGENERATE: median 6.8 minutes. Measures checkout speed, not recency",True,float64,8537,0.55,0.57
pre_views_per_tenure_day,M3 pre-t0 browsing,< t0,all types,pre_n_view_ev / tenure_d (floored at 1 minute),"tenure-normalised twin, constraint 5",True,float64,79495,0.55,0.57
pre_sessions_per_tenure_day,M3 pre-t0 browsing,< t0,all types,pre_n_sessions / tenure_d,"tenure-normalised twin, constraint 5",True,float64,71628,0.55,0.57
pre_events_per_tenure_day,M3 pre-t0 browsing,< t0,all types,pre_n_events / tenure_d,"tenure-normalised twin, constraint 5",True,float64,88383,0.55,0.57
pre_products_per_tenure_day,M3 pre-t0 browsing,< t0,all types,pre_n_products / tenure_d,"tenure-normalised twin, constraint 5",True,float64,84163,0.55,0.57
has_pre_t0_history,M3 pre-t0 browsing,< t0,all types,the user has any event before t0,explicit missingness indicator for this block -- 600 users have none,True,int64,2,0.0,0.0
cad_n_hist_gaps,M4 cadence,< t0,all types,number of historical inter-session gaps before the buying visit,coverage indicator,True,Int64,231,53.33,53.81
cad_median_gap_d,M4 cadence,< t0,all types,median of those gaps (days),NULL for users with <2 prior sessions; never imputed,True,float64,34361,53.33,53.81
cad_iqr_gap_d,M4 cadence,< t0,all types,IQR of those gaps,same,True,float64,31144,53.33,53.81
cad_regularity,M4 cadence,< t0,all types,cad_iqr_gap_d / cad_median_gap_d,same,True,float64,35611,53.33,53.81
gap_before_purchase_visit,M4 cadence,< t0,all types,days from the previous session's start to the buying session's start,held out of the cadence median so the ratio is not self-referential,True,float64,29606,53.07,53.53
cad_lapse_ratio,M4 cadence,< t0,all types,gap_before_purchase_visit / cad_median_gap_d,the personalised quantity; NOT collinear with either part,True,float64,46903,53.33,53.81
has_session_cadence,M4 cadence,< t0,all types,cad_median_gap_d is defined,explicit missingness indicator,True,int64,2,0.0,0.0
cad_day_n_hist_gaps,M4 cadence,< t0,all types,number of historical gaps between ACTIVE DAYS before the buying day,coverage indicator,True,float64,54,52.41,52.82
cad_day_median_gap_d,M4 cadence,< t0,all types,median of those day-gaps,the interpretable cadence: median 3.5d against a 42.2d global rule,True,float64,201,72.89,73.35
gap_before_purchase_day,M4 cadence,< t0,all types,days from the previous active day to the buying day,"held out of the median, as above",True,Int64,142,62.22,62.72
cad_day_lapse_ratio,M4 cadence,< t0,all types,gap_before_purchase_day / cad_day_median_gap_d,the personalised quantity tested in Section 7,True,float64,1958,72.89,73.35
has_day_cadence,M4 cadence,< t0,all types,cad_day_median_gap_d is defined,explicit missingness indicator -- only 27.1% of users,True,int64,2,0.0,0.0
pre_segment,S segment,< t0,all types,segment_model.json re-scored on pre-t0 features only,"NOT model-eligible: one of the 8 fitted inputs is constant in this window, and it is a lossy function of M3 (Section 8)",False,object,5,0.0,0.0
